open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-07-26 17:09:00+08:00,187.9500,188.3400,187.9100,188.3000,38268.18,2025-07-26 17:09:59.999000+08:00,7201590.709300,3263,18512.99,3483566.697100,0
2025-07-26 17:10:00+08:00,188.3000,188.6800,188.2700,188.3300,45630.20,2025-07-26 17:10:59.999000+08:00,8600859.008900,4471,31566.47,5949895.157400,0
2025-07-26 17:11:00+08:00,188.3300,188.4300,188.2500,188.3900,15498.81,2025-07-26 17:11:59.999000+08:00,2919195.569100,1502,8749.24,1647852.262200,0
2025-07-26 17:12:00+08:00,188.4000,188.5300,188.4000,188.4700,15912.44,2025-07-26 17:12:59.999000+08:00,2998775.853300,1391,8445.86,1591647.250000,0
2025-07-26 17:13:00+08:00,188.4800,188.5900,188.3700,188.4700,19760.19,2025-07-26 17:13:59.999000+08:00,3724631.257700,1767,12921.37,2435692.062300,0
2025-07-26 17:14:00+08:00,188.4700,188.6800,188.4500,188.5600,22873.61,2025-07-26 17:14:59.999000+08:00,4313108.954600,1779,16709.50,3150803.640200,0
2025-07-26 17:15:00+08:00,188.5600,188.8200,188.5000,188.7200,29042.41,2025-07-26 17:15:59.999000+08:00,5479265.140300,3414,15407.36,2907208.949400,0
2025-07-26 17:16:00+08:00,188.7300,188.7500,188.4500,188.6800,16098.02,2025-07-26 17:16:59.999000+08:00,3035703.889500,1729,5426.35,1023286.290100,0
2025-07-26 17:17:00+08:00,188.6800,188.7200,188.5900,188.6500,13507.84,2025-07-26 17:17:59.999000+08:00,2548558.045300,1227,5822.33,1098544.079500,0
2025-07-26 17:18:00+08:00,188.6600,188.6600,188.3400,188.4300,16351.02,2025-07-26 17:18:59.999000+08:00,3081544.325200,1787,7602.90,1432885.908900,0
2025-07-26 17:19:00+08:00,188.4200,188.4300,188.2200,188.3500,14407.82,2025-07-26 17:19:59.999000+08:00,2712906.399000,1517,6473.71,1218885.270900,0
2025-07-26 17:20:00+08:00,188.3500,188.3600,188.2000,188.2100,11459.18,2025-07-26 17:20:59.999000+08:00,2157442.675600,1078,3756.82,707347.292200,0
2025-07-26 17:21:00+08:00,188.2100,188.3700,188.1400,188.2900,17966.12,2025-07-26 17:21:59.999000+08:00,3381624.110700,1720,8699.88,1637521.270500,0
2025-07-26 17:22:00+08:00,188.2900,188.3800,188.2300,188.3700,10072.48,2025-07-26 17:22:59.999000+08:00,1896733.204000,1054,4419.94,832330.967900,0
2025-07-26 17:23:00+08:00,188.3700,188.4000,188.2800,188.3100,5016.25,2025-07-26 17:23:59.999000+08:00,944799.129900,717,2549.79,480240.328500,0
2025-07-26 17:24:00+08:00,188.3200,188.3200,188.1600,188.2200,8031.51,2025-07-26 17:24:59.999000+08:00,1511893.737400,831,3025.82,569520.799500,0
2025-07-26 17:25:00+08:00,188.2300,188.2600,188.1000,188.2000,7514.18,2025-07-26 17:25:59.999000+08:00,1414009.457000,1128,3959.43,745121.371200,0
2025-07-26 17:26:00+08:00,188.2000,188.2000,188.0400,188.1800,10996.84,2025-07-26 17:26:59.999000+08:00,2068400.114600,1367,5907.00,1111061.517200,0
2025-07-26 17:27:00+08:00,188.1800,188.2100,188.0700,188.0700,6554.65,2025-07-26 17:27:59.999000+08:00,1233166.866500,875,3030.14,570102.693000,0
2025-07-26 17:28:00+08:00,188.0700,188.0800,187.9900,187.9900,4474.27,2025-07-26 17:28:59.999000+08:00,841315.921500,736,633.63,119165.165500,0
2025-07-26 17:29:00+08:00,187.9900,188.0700,187.9900,188.0400,4544.93,2025-07-26 17:29:59.999000+08:00,854553.558200,611,2678.28,503558.917000,0
2025-07-26 17:30:00+08:00,188.0500,188.0900,187.8500,187.8500,17377.37,2025-07-26 17:30:59.999000+08:00,3266437.305500,2301,5832.61,1096471.072100,0
2025-07-26 17:31:00+08:00,187.8500,188.2700,187.8500,188.2000,26154.40,2025-07-26 17:31:59.999000+08:00,4919649.082200,2303,15641.63,2942386.589300,0
2025-07-26 17:32:00+08:00,188.2100,188.2400,188.0100,188.0200,22799.87,2025-07-26 17:32:59.999000+08:00,4288911.220300,1604,7717.51,1451649.781000,0
2025-07-26 17:33:00+08:00,188.0300,188.2500,187.9900,188.2000,22779.87,2025-07-26 17:33:59.999000+08:00,4285062.253800,1712,13854.11,2606279.091400,0
2025-07-26 17:34:00+08:00,188.2000,188.3800,188.1900,188.3300,9366.34,2025-07-26 17:34:59.999000+08:00,1763466.514900,1162,7544.31,1420352.753900,0
2025-07-26 17:35:00+08:00,188.3200,188.4400,188.3200,188.4300,9692.53,2025-07-26 17:35:59.999000+08:00,1826053.744900,833,6634.97,1250000.221700,0
2025-07-26 17:36:00+08:00,188.4200,188.4300,188.3000,188.3000,7570.67,2025-07-26 17:36:59.999000+08:00,1425980.359500,869,2018.09,380138.403800,0
2025-07-26 17:37:00+08:00,188.3100,188.3300,188.2100,188.3300,5851.16,2025-07-26 17:37:59.999000+08:00,1101510.172900,971,3989.03,750962.544300,0
2025-07-26 17:38:00+08:00,188.3300,188.4600,188.3200,188.4300,6251.00,2025-07-26 17:38:59.999000+08:00,1177662.598000,812,5579.59,1051183.360300,0
2025-07-26 17:39:00+08:00,188.4300,188.4400,188.4100,188.4200,2538.51,2025-07-26 17:39:59.999000+08:00,478308.622200,506,1266.09,238559.639400,0
2025-07-26 17:40:00+08:00,188.4100,188.7200,188.4100,188.6500,19065.44,2025-07-26 17:40:59.999000+08:00,3595367.527200,1843,13899.07,2621197.275300,0
2025-07-26 17:41:00+08:00,188.6400,188.6900,188.6000,188.6400,5634.87,2025-07-26 17:41:59.999000+08:00,1063038.754800,848,3373.30,636389.525400,0
2025-07-26 17:42:00+08:00,188.6300,188.7700,188.6300,188.6700,7221.68,2025-07-26 17:42:59.999000+08:00,1362929.862600,1023,4267.32,805358.194800,0
2025-07-26 17:43:00+08:00,188.6700,188.9300,188.6000,188.8000,25227.50,2025-07-26 17:43:59.999000+08:00,4762512.982200,2233,13163.09,2485115.890100,0
2025-07-26 17:44:00+08:00,188.8000,188.8700,188.7800,188.8000,10798.68,2025-07-26 17:44:59.999000+08:00,2038827.108300,913,7161.00,1351996.122600,0
2025-07-26 17:45:00+08:00,188.8100,188.9700,188.7600,188.9600,23965.81,2025-07-26 17:45:59.999000+08:00,4526434.876200,2394,15111.79,2854271.900600,0
2025-07-26 17:46:00+08:00,188.9500,189.1600,188.7700,188.7700,41992.75,2025-07-26 17:46:59.999000+08:00,7936754.973560,4139,23350.97,4413699.555560,0
2025-07-26 17:47:00+08:00,188.7700,188.9300,188.7700,188.9000,13863.58,2025-07-26 17:47:59.999000+08:00,2618157.141800,1570,9508.89,1795754.939600,0
2025-07-26 17:48:00+08:00,188.8900,188.9000,188.6700,188.7100,14632.33,2025-07-26 17:48:59.999000+08:00,2761712.941500,1503,5316.91,1003409.820900,0
2025-07-26 17:49:00+08:00,188.7200,188.7700,188.6800,188.7300,8499.43,2025-07-26 17:49:59.999000+08:00,1604129.914500,710,3866.92,729782.785300,0
2025-07-26 17:50:00+08:00,188.7300,188.7300,188.6000,188.6000,10638.60,2025-07-26 17:50:59.999000+08:00,2007204.488900,1090,4234.99,799006.979000,0
2025-07-26 17:51:00+08:00,188.6000,188.8400,188.5600,188.7700,10783.22,2025-07-26 17:51:59.999000+08:00,2034897.959200,1299,6986.99,1318558.409200,0
2025-07-26 17:52:00+08:00,188.7700,188.8300,188.6600,188.8300,7961.51,2025-07-26 17:52:59.999000+08:00,1502596.010900,841,4622.34,872419.331500,0
2025-07-26 17:53:00+08:00,188.8200,188.9000,188.7900,188.8400,4700.87,2025-07-26 17:53:59.999000+08:00,887743.453900,642,2686.71,507379.519600,0
2025-07-26 17:54:00+08:00,188.8400,188.9500,188.8200,188.8400,4619.93,2025-07-26 17:54:59.999000+08:00,872517.959400,901,3259.05,615474.789300,0
2025-07-26 17:55:00+08:00,188.8400,188.9100,188.7600,188.8900,8646.23,2025-07-26 17:55:59.999000+08:00,1632610.539900,1001,3692.51,697274.701000,0
2025-07-26 17:56:00+08:00,188.8800,188.9300,188.8700,188.8900,4206.53,2025-07-26 17:56:59.999000+08:00,794576.572700,712,2162.69,408513.799200,0
2025-07-26 17:57:00+08:00,188.9000,188.9500,188.8900,188.9500,3739.59,2025-07-26 17:57:59.999000+08:00,706442.808800,591,2684.21,507075.118300,0
2025-07-26 17:58:00+08:00,188.9400,189.0400,188.9000,189.0400,7246.60,2025-07-26 17:58:59.999000+08:00,1369389.017800,887,4379.60,827656.915900,0
2025-07-26 17:59:00+08:00,189.0300,189.0500,188.9400,188.9400,6929.43,2025-07-26 17:59:59.999000+08:00,1309723.321600,897,2064.99,390347.111800,0
2025-07-26 18:00:00+08:00,188.9400,189.1500,188.9400,189.1400,14680.85,2025-07-26 18:00:59.999000+08:00,2775668.619400,1632,10512.97,1987564.130100,0
2025-07-26 18:01:00+08:00,189.1400,189.3200,189.0900,189.2900,30434.54,2025-07-26 18:01:59.999000+08:00,5758742.830100,2546,22262.29,4212338.057600,0
2025-07-26 18:02:00+08:00,189.2900,189.3700,189.2100,189.3600,16292.24,2025-07-26 18:02:59.999000+08:00,3084260.224700,3075,8882.60,1681609.844200,0
2025-07-26 18:03:00+08:00,189.3600,189.3800,189.1800,189.3600,30226.00,2025-07-26 18:03:59.999000+08:00,5721017.398400,6955,18699.26,3539148.308300,0
2025-07-26 18:04:00+08:00,189.3600,189.4900,189.2900,189.4800,17040.85,2025-07-26 18:04:59.999000+08:00,3227244.700720,2769,11225.23,2125818.271520,0
2025-07-26 18:05:00+08:00,189.4800,189.6500,189.4300,189.4300,40541.41,2025-07-26 18:05:59.999000+08:00,7683920.204700,2815,19694.71,3733010.453000,0
2025-07-26 18:06:00+08:00,189.4200,189.5600,189.2000,189.2200,42823.05,2025-07-26 18:06:59.999000+08:00,8112395.384700,2261,6684.39,1266482.160900,0
2025-07-26 18:07:00+08:00,189.2200,189.2200,189.0400,189.0500,36971.30,2025-07-26 18:07:59.999000+08:00,6991189.417300,2350,13255.61,2506563.657300,0
2025-07-26 18:08:00+08:00,189.0400,189.1500,188.9600,189.0900,21357.23,2025-07-26 18:08:59.999000+08:00,4036909.354400,1886,5312.92,1004256.740200,0
2025-07-26 18:09:00+08:00,189.0800,189.4300,189.0800,189.3800,31438.00,2025-07-26 18:09:59.999000+08:00,5950513.758500,2481,25162.31,4762465.320900,0
2025-07-26 18:10:00+08:00,189.3700,189.3900,189.2400,189.3500,13176.61,2025-07-26 18:10:59.999000+08:00,2494360.231200,1388,6066.37,1148312.012000,0
2025-07-26 18:11:00+08:00,189.3500,189.5800,189.3500,189.5500,10733.66,2025-07-26 18:11:59.999000+08:00,2033806.054100,1202,8842.71,1675465.202300,0
2025-07-26 18:12:00+08:00,189.5500,189.7500,189.5200,189.7300,28692.44,2025-07-26 18:12:59.999000+08:00,5441330.739700,2649,17236.35,3268853.237900,0
2025-07-26 18:13:00+08:00,189.7300,189.7500,189.3400,189.3800,11648.76,2025-07-26 18:13:59.999000+08:00,2207439.384200,2064,4711.67,892725.877000,0
2025-07-26 18:14:00+08:00,189.3800,189.4600,189.3200,189.3200,5499.49,2025-07-26 18:14:59.999000+08:00,1041527.688400,878,2620.18,496234.054900,0
2025-07-26 18:15:00+08:00,189.3200,189.5000,189.3200,189.3700,9806.38,2025-07-26 18:15:59.999000+08:00,1857413.165800,1132,6706.85,1270346.182800,0
2025-07-26 18:16:00+08:00,189.3700,189.4100,189.2800,189.2800,28471.70,2025-07-26 18:16:59.999000+08:00,5391133.357000,2009,4986.96,944316.298500,0
2025-07-26 18:17:00+08:00,189.2800,189.2800,189.0500,189.0600,22083.22,2025-07-26 18:17:59.999000+08:00,4176282.397100,1923,6652.18,1257967.038200,0
2025-07-26 18:18:00+08:00,189.0700,189.1800,189.0100,189.1800,7399.39,2025-07-26 18:18:59.999000+08:00,1399041.646300,1063,3571.90,675416.123600,0
2025-07-26 18:19:00+08:00,189.1800,189.2000,189.0900,189.1000,4475.31,2025-07-26 18:19:59.999000+08:00,846511.977300,730,1003.88,189906.516300,0
2025-07-26 18:20:00+08:00,189.0900,189.1700,189.0600,189.0800,4188.20,2025-07-26 18:20:59.999000+08:00,792010.031400,822,1905.25,360292.898700,0
2025-07-26 18:21:00+08:00,189.0900,189.2600,188.9800,189.2400,44906.72,2025-07-26 18:21:59.999000+08:00,8491245.189800,2576,10934.27,2067947.156500,0
2025-07-26 18:22:00+08:00,189.2300,189.2400,189.0800,189.2200,5044.82,2025-07-26 18:22:59.999000+08:00,954252.566100,772,2601.33,492047.734900,0
2025-07-26 18:23:00+08:00,189.2100,189.2500,189.1600,189.1700,7874.47,2025-07-26 18:23:59.999000+08:00,1489917.533200,703,4117.90,779094.834300,0
2025-07-26 18:24:00+08:00,189.1800,189.2300,189.0800,189.0900,6340.42,2025-07-26 18:24:59.999000+08:00,1199330.586800,745,3363.58,636296.388300,0
2025-07-26 18:25:00+08:00,189.0800,189.1600,189.0600,189.0600,5074.14,2025-07-26 18:25:59.999000+08:00,959511.228100,757,2953.33,558476.327200,0
2025-07-26 18:26:00+08:00,189.0600,189.1500,189.0100,189.0500,5981.18,2025-07-26 18:26:59.999000+08:00,1130800.468300,842,2970.04,561547.350600,0
2025-07-26 18:27:00+08:00,189.0500,189.0500,188.9500,189.0000,7247.89,2025-07-26 18:27:59.999000+08:00,1369784.429700,947,2833.15,535440.913400,0
2025-07-26 18:28:00+08:00,188.9900,189.0300,188.8300,188.9300,14973.97,2025-07-26 18:28:59.999000+08:00,2828878.905000,1767,5181.52,979031.107400,0
2025-07-26 18:29:00+08:00,188.9300,188.9600,188.8300,188.9100,8188.57,2025-07-26 18:29:59.999000+08:00,1546687.480800,979,2400.93,453535.236900,0
2025-07-26 18:30:00+08:00,188.9000,189.0100,188.8500,189.0100,14448.02,2025-07-26 18:30:59.999000+08:00,2729693.428500,1254,9495.90,1794026.246700,0
2025-07-26 18:31:00+08:00,189.0100,189.0300,188.9500,189.0100,4920.47,2025-07-26 18:31:59.999000+08:00,929965.531600,997,2769.38,523423.398200,0
2025-07-26 18:32:00+08:00,189.0100,189.1800,189.0100,189.0600,4799.98,2025-07-26 18:32:59.999000+08:00,907666.330300,1591,2263.00,427934.103500,0
2025-07-26 18:33:00+08:00,189.0600,189.2000,188.8500,188.8600,22662.06,2025-07-26 18:33:59.999000+08:00,4284876.232200,2244,11404.87,2156476.730700,0
2025-07-26 18:34:00+08:00,188.8600,189.0800,188.7800,189.0100,12184.74,2025-07-26 18:34:59.999000+08:00,2301906.921100,1569,4464.97,843532.735400,0
2025-07-26 18:35:00+08:00,189.0000,189.0900,188.9300,188.9800,9737.32,2025-07-26 18:35:59.999000+08:00,1840590.102500,1169,2330.12,440412.642400,0
2025-07-26 18:36:00+08:00,188.9800,189.1700,188.9500,189.1400,14118.84,2025-07-26 18:36:59.999000+08:00,2668891.440900,1232,4450.61,841319.684500,0
2025-07-26 18:37:00+08:00,189.1400,189.3000,189.0000,189.0100,26685.14,2025-07-26 18:37:59.999000+08:00,5047987.358900,1667,17060.57,3227137.748400,0
2025-07-26 18:38:00+08:00,189.0000,189.1200,188.9500,189.1100,5427.52,2025-07-26 18:38:59.999000+08:00,1025922.542600,898,3836.96,725293.663500,0
2025-07-26 18:39:00+08:00,189.1100,189.3500,189.0700,189.3500,18563.96,2025-07-26 18:39:59.999000+08:00,3513152.168900,1454,13871.70,2625258.839400,0
2025-07-26 18:40:00+08:00,189.3400,189.3500,189.1600,189.2300,10754.71,2025-07-26 18:40:59.999000+08:00,2035445.285500,1455,4192.08,793391.647900,0
